Start time;Completion time;Email;Participant_ID;Manager_Type;I feel more confident advocating for ethical decisions.;I was better able to structure my ethical arguments.;I am more likely to raise ethical concerns in future team discussions.;I learned new ways to frame or argue for ethical concerns.;EVA’s counterarguments helped me think more critically about my position.;EVA’s suggestions felt tailored to the intensity and complexity of the scenario.;I would use EVA during real project discussions.;I trust EVA to provide ethically responsible suggestions.;Using EVA made me more aware of ethical concerns I hadn’t considered.;EVA encouraged me to think about stakeholders I had previously overlooked.;How likely are you to recommend EVA to a friend or colleague?;Have you ever used a chatbot to discuss ethical concerns in software development?;Which chatbots have you used for this purpose?;Compared to general-purpose chatbots, EVA was more helpful for ethical decision-making.;        I trust EVA more than general-purpose chatbots for   ethical decision-making.      ;EVA helped me think more critically about ethical concerns than general-purpose chatbots.;        EVA was more sensitive to the complexity and   intensity of ethical scenarios than general-purpose chatbots.      ;Compared to general-purpose chatbots, EVA raised ethical concerns I might not have considered.;        Compared to general-purpose chatbots, EVA helped me   better understand how my choices affect different stakeholders.      ;        I would prefer to use EVA over a general-purpose   chatbot in real projects involving ethical concerns.      ;In what ways did EVA feel better or worse than general-purpose chatbots?;What did you find most helpful about EVA? ;What would you change about EVA?;Did EVA’s simulated manager responses feel realistic based on your past experiences with team dynamics or management? Please explain.;Have you used any of the argumentation tactics from EVA in a real conversation? If so, could you describe a situation where it worked or didn’t work?;Start time2;Completion time3;Email4;Name5;Please fill in your participant number.6;What is your age range?;What gender do you most identify with?;What is your country of residence?;Which of the following describes your race or ethnic background?;What is your primary role in your organization?;How many years of experience do you have?;Have you encountered ethical concerns in a software development context?;Have you ever raised or spoken up about an ethical concern during software development?;I feel confident speaking up about ethical concerns during development.;I feel empowered to challenge ethically questionable decisions in my organization.;I advocate for ethical design decisions during team discussions.;Ethical concerns influence my design decisions.;My team discusses ethical concerns during development.
7-15-25 15:44:09;7-15-25 15:50:06;anonymous;11;Puppeteer;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Strongly agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;7;No;;;;;;;;;;That you can freely have a conversational without the pressure of a project.;To upload documents to have more background knowledge.;It does feel, so though things can develop in a project over time. So for example, not including the full inclusive set of accesibility options, doesn't mean it will be never suggested if you aren't suggesting them. Project priorities are not static, and stakeholder, not only you should be aware on these issues.;"Yes for example ""Future-oriented ethical framing.""";7/15/25 15:14:23;7/15/25 15:19:58;anonymous;;11;25 to 34;Man;Netherlands;"Middle Eastern or North African;";Software Developer, Consultant;2 to 5 years;No;;Agree;Neither agree nor disagree;Rarely;Sometimes;Rarely
7-15-25 17:27:53;7-15-25 17:34:31;anonymous;12;Diluter;Agree;Neither agree nor disagree;Neither agree nor disagree;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;6;No;;;;;;;;;;The counter arguments definitely gave me points to think about which I hadn't thought before. ;It would be better if EVA gave a more detailed resources to deep dive in for these topics, it would be even more helpful. ;Not really. I work in Accessibility team so we are always thinking beyond compliance and my teams mates and managers always advocate for doing the right thing. But I have had concerns from other colleagues in my company asking why they should care about less than 1% of their users when they could be spending their energy on improving other features. ;I have used soft push back at work by presenting the facts and using reasoning to help others see my point. It has almost always worked for me. ;7/15/25 17:07:57;7/15/25 17:09:15;anonymous;;12;25 to 34;Woman;Netherlands;"Asian or Asian origin;";Software Developer;Under 2 years;No;;Agree;Agree;Often;Often;Always
7-16-25 18:23:23;7-16-25 18:25:14;anonymous;13;Camouflager;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;8;No;;;;;;;;;;EVA created awareness on different strategies on me;I would like to shape my own answers instead of predefined ones;Similar;I used but I was unaware;7/16/25 18:12:33;7/16/25 18:13:46;anonymous;;13;25 to 34;Man;Netherlands;"TÜRK;";Software Developer;6 to 10 years;Yes;Yes;Strongly agree;Strongly agree;Often;Often;Often
7-17-25 12:28:35;7-17-25 12:38:03;anonymous;14;Diluter;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Neither agree nor disagree;Strongly agree;Strongly agree;8;No;;;;;;;;;;The ability to differentiate between the different answer types (logical fallacy, rethorical persuasion), and evaluating the conversation as a whole. I think the feedback was very useful and interesting to look at.;Maybe adding a few different scenarios to practive with. The current two scenarios are pretty much the same, so it felt a little repetitive. Having at least two different scenarios could allow you to reflect and implement the feedback from the previous scenario better.;They felt very much realistic. I found it quite often that it's quite difficult to change people's minds when it comes to something they are convinced about. I felt like the simulated manager had about the right amount of feedback to get you shaking your head in disagreement :);I have. My usual tactics are appealing to empathy, and using research to try and convince somebody of something. These tactics work mostly with people in my age range, however it is often difficult to get my point across with age groups over 50.;7/17/25 12:03:44;7/17/25 12:05:22;anonymous;;14;25 to 34;Man;Netherlands;"White or European origin;";Software Developer;Under 2 years;Yes;Yes;Strongly agree;Strongly agree;Often;Often;Often
7-17-25 15:32:55;7-17-25 15:45:46;anonymous;15;Diluter;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Agree;Neither agree nor disagree;Disagree;Neither agree nor disagree;6;No;;;;;;;;;;The tactics guide and EVAs feedback made me more aware of used tactics and methods of ethical arguing.;Without testing EVA in an actual scenario, I feel like the test is not sufficient to provide feedback on improvements.;It felt a little bit stereotypical and it did not account for other tactics that could sometimes be seen used by managers like evading the topic, not answering, or dragging conversations along with the argument of other priorities at the moment.;In the past I could successfully argue with legal compliance (GDPR) in scenarios. I could also think of a scenario where an appeal to core values was applicable as well, but that was easily dismissed.;7/28/25 16:05:45;7/28/25 16:07:36;anonymous;;15;25 to 34;Man;Germany;"White or European origin;";Project Manager;6 to 10 years;Yes;Yes;Strongly agree;Agree;Often;Often;Sometimes
7-18-25 14:26:57;7-18-25 14:32:29;anonymous;16;Diluter;Strongly agree;Agree;Agree;Strongly agree;Agree;Agree;Agree;Neither agree nor disagree;Strongly agree;Agree;8;No;;;;;;;;;;Example scenarios were close to real world private chats. That was helpful to imagine how would I approach to a similar situation.;I would add explanation for each option that I've chosen in the example. I wanted to know more about all other options while I was doing the scenario.;Yes, but repetitive. ;No, but I think my manager used similar tactics. Especially emotional ones.;7/18/25 14:04:58;7/18/25 14:08:05;anonymous;;16;25 to 34;Man;Netherlands;"Prefer not to say;";Software Developer;6 to 10 years;Yes;Yes;Agree;Neither agree nor disagree;Often;Often;Sometimes
7-18-25 14:23:29;7-18-25 14:31:29;anonymous;17;Camouflager;Strongly agree;Agree;Agree;Strongly agree;Strongly agree;Agree;Strongly agree;Agree;Agree;Strongly agree;10;No;;;;;;;;;;It taught me about the different angles of ethical knowledge I didn't know previously. ;I would make this a chrome extension or sort of a native mac app that reads my screen all time and interfere where I needed.;Yes it was very realistic. I personally experienced very similar real time situations in my career. ;Yeah I used 'Usability studies' a lot. Example: not providing accessible designs for visually impaired users seems negligible because they are only %2-3  of the whole user base but if you millions of users this could have a huge impact on your revenue. So most of the time I was convincing my managers using this. ;7/18/25 14:03:17;7/18/25 14:04:44;anonymous;;17;25 to 34;Man;Netherlands;"White or European origin;";UX / UI Designer;6 to 10 years;Yes;No;Neither agree nor disagree;Neither agree nor disagree;Rarely;Sometimes;Rarely
7-21-25 12:49:26;7-21-25 12:58:17;anonymous;18;Puppeteer;Agree;Agree;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;9;No;;;;;;;;;;The highlight of the technique used as resistance or persuasive was very helpful in helping me feel more compelled to understand why I chose this response;I would let the assistant ask the user to explain the situation and also how they would respond. Then, the assistant can give options with labels for how they can respond—if they choose to be compliant, use soft resistance, or provide factual responses. This will help the user feel that they are learning better reasoning techniques instead of the assistant telling them what to do;Yes it was very releastic ;Yes I tend to like assertive and soft resistance ;7/21/25 12:11:55;7/21/25 12:15:01;anonymous;;Hoda Khalafalla;35 to 44;Woman;Germany;"Middle Eastern or North African;";Technical Product Manager;6 to 10 years;Yes;Yes;Strongly agree;Disagree;Always;Always;Always
7-21-25 12:50:45;7-21-25 12:57:01;anonymous;19;Puppeteer;Agree;Agree;Neither agree nor disagree;Agree;Disagree;Agree;Agree;Agree;Agree;Agree;10;Yes;"ChatGPT;";Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;I haven't seen a huge difference when chatting to Eva than when I chatted with ChatGPT about it. ;Framing the responses and possibilities;I would make it more in a chat bot style, really liek having an assistant to chat with about particular situations;Yes, I heard my boss's voice :);Making a point by suggesting concrete actions is always good in such situations. I like that the answers included such options and concrete action points - everyone loves them. The issue in real world is that often we knwo that there is a problem but we are unsure what concrete steps to make. ;7/21/25 12:12:14;7/21/25 12:23:19;anonymous;;19;35 to 44;Woman;Switzerland;"White or European origin;";Product manager;11 to 20 years;No;;Agree;Strongly agree;Always;Often;Always
7-23-25 16:58:16;7-23-25 17:05:08;anonymous;20;Diluter;Disagree;Neither agree nor disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;4;No;;;;;;;;;;Explaining logical fallacies is very helpful, and easy to miss if you aren't aware.;"It would be more useful with a more realistic use-case and boss responses.

The use-case about accessibility may not be a problem at all, depending on what users you are serving. The use-case about privacy is clear cut, there are rules about this.";Not to me, I am used to argument based technical discussions. This was low on facts and high on fluff, which I guess was the point so that's ok, but I'm not used to it.;Yes. Usually they don't work when the other just has a different view of the world than you do. This is true for many discussions, not just tactics.;7/23/25 16:34:26;7/23/25 16:36:39;anonymous;;20;35 to 44;Man;Netherlands;"White or European origin;";Team Manager;6 to 10 years;Yes;Yes;Agree;Agree;Sometimes;Often;Sometimes
7-23-25 21:23:58;7-23-25 21:27:28;anonymous;21;Puppeteer;Disagree;Neither agree nor disagree;Disagree;Agree;Agree;Agree;Disagree;Neither agree nor disagree;Disagree;Disagree;3;No;;;;;;;;;;I like how it was able to draft an email and show me the personality types and the type of responses I was choosing.;Instead of drafting up emails, it could be a handy tool to help me find company policies that I can use challenge the leadership for the decisions made.;No. Managers don't typically have time to write such detailed messages. It felt artificial.;I've used the formal disagreement before. It does work sometimes when your position is difficult but you would still like to be heard.;7/23/25 21:07:39;7/23/25 21:09:14;anonymous;;21;25 to 34;Man;Canada;"Asian or Asian origin;";Software Developer;6 to 10 years;No;;Neither agree nor disagree;Disagree;Sometimes;Sometimes;Rarely
7-24-25 10:42:16;7-24-25 10:53:00;anonymous;22;Diluter;Neither agree nor disagree;Agree;Disagree;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Agree;6;No;;;;;;;;;;Bringing possible argumentation strategies to the surface, allowing the user to analyse what options they have instead of having to create one on their own. This is a big difference if the user is not aware of the possible options or is new to this type of conversations and discussions.;I would provide more context about the scenarios (which company, what product, etc. ). This was missing for me in order to construct a strategy and a way to argue for a change. ;Yes, but it used the same argumentation for different scenarios. The difference in value of the scenarios may have been the order of magnitude which would influence the way managers argue them.  ;Yes, usually a mix of all, depending on the context of the conversation and the position from which I am leading the argument.;7/24/25 10:09:44;7/24/25 10:17:00;anonymous;;22;35 to 44;Man;Germany;"White or European origin;";Principal Architect;11 to 20 years;Yes;No;Agree;Neither agree nor disagree;Sometimes;Sometimes;Sometimes
7-29-25 9:59:23;7-29-25 10:10:10;anonymous;23;Diluter;Agree;Agree;Agree;Agree;Neither agree nor disagree;Agree;Disagree;Agree;Agree;Agree;3;No;;;;;;;;;;"It might be good for people who end up in these kind of scenarios, where their manager is focused on finishing a project within the deadline. If you notice certain ethical concerns are overlooked, and you want to notify your manager but dont know how to do this, this could be a good tool to use.
It is a good reminder to not overlook certain ethical dilemmas just because they cost a bit of money/time.";I dont know how it would work if it was free-text, the answers now were pre-determined so the performance of EVA i cannot evaluate. Ohter than that, for now there were not many things i would change, I think I would need to see more of EVA to really see what I would change;For me not. My work is always internal, not for external customers. So the deadlines are maybe i little less firm. Other than that i think I have a good manager, who has not put me in these kinds of situations. Then again, I would not say I have always thought about every possible ethical dilemma when creating a new piece of software.;I would say i do use compromises a lot in work. Here i opted two times for a minimal fix compromise, in my work I also have to make compromises. ;7/29/25 9:38:20;7/29/25 9:39:57;anonymous;;23;18 to 24;Man;Netherlands;"White or European origin;";Software Developer;2 to 5 years;No;;Neither agree nor disagree;Neither agree nor disagree;Rarely;Rarely;Rarely
